Article URL,Date,Pageviews,Unique Pageviews,Average Time,Entrances,Bounce Rate,Exit Rate
/2013/10/29/gravity-movie-and-science/,20131029,12,12,26,11,1.0,0.9167000000000001
/2013/10/29/republicans-illinois-gubernatorial-race/,20131029,9,8,61,8,0.875,0.8889
/2013/10/30/interview-with-ed-gillespie/,20131030,23,22,45,14,0.9286,0.6087
/2013/10/30/is-le-pen-mightier/,20131030,6,6,22,1,1.0,0.5
/2013/10/31/wendy-davis-texas/,20131031,29,27,235,23,0.8695999999999999,0.7931
/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,20131101,11,11,121,2,1.0,0.4545
/2013/11/05/migrants-marooned-italian-immigration-crisis/,20131105,39,37,22,32,0.9375,0.8718
/2013/11/05/bread-lines-to-front-lines/,20131105,8,8,21,7,0.8571,0.75
/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,20131106,8,8,72,4,1.0,0.625
/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,20131110,27,22,397,21,0.8571,0.7778
/2013/11/12/farah-al-haddad-interview/,20131112,23,21,94,20,0.95,0.8695999999999999
/2013/11/13/a-big-stuff-moment/,20131113,4,4,36,2,1.0,0.75
/2013/11/13/the-true-meaning-of-the-shutstorm/,20131113,1,1,0,0,0.0,1.0
/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,20131114,97,93,143,92,0.9457,0.9484999999999999
/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,20131114,12,12,59,7,0.8571,0.5
/2013/11/15/superfood-to-the-rescue/,20131115,56,54,373,52,0.9231,0.9286
/2013/11/15/malaysian-court-minorities-allah/,20131115,3,3,10,2,1.0,0.6667000000000001
/2013/11/18/shutdown-2013-self-interest/,20131118,12,12,12,2,0.0,0.4167
/2013/11/18/feinstein-stands-by-the-nsa/,20131118,9,7,63,2,0.5,0.44439999999999996
/2013/11/19/healthcare-reform-today-and-tomorrow/,20131119,21,18,233,9,0.7778,0.5238
/2013/11/20/election-violence-in-the-philippines/,20131120,33,32,276,25,0.88,0.8181999999999999
/2013/11/20/proposed-bike-tax-chicago/,20131120,5,5,11,3,1.0,0.8
/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,20131121,91,80,64,77,0.8571,0.8571
/2013/11/21/raise-scores-then-wages/,20131121,16,15,54,5,0.8,0.625
/2013/11/21/claire-mccaskill-a-leading-voice-on-both-sides-of-the-aisle/,20131121,6,5,23,1,1.0,0.3333
/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,20131122,7,7,151,3,1.0,0.5714
/2013/11/22/officials-review-response-to-2008-crisis/,20131122,6,6,16,1,1.0,0.5
/2013/11/25/illinois-without-career-politicians/,20131125,20,16,158,9,0.8889,0.55
/2013/11/26/thick-blurred-lines-plagiarism/,20131126,75,69,255,65,0.8769,0.88
/2013/11/28/suriname-and-hezbollah/,20131128,29,25,33,21,0.8095,0.6897
/2013/11/28/demarcating-chinas-imaginary-valleys/,20131128,28,23,17,6,1.0,0.4286
/2013/11/29/nazi-looted-art-finally-uncovered/,20131129,17,15,153,12,0.8332999999999999,0.7646999999999999
/2013/11/29/violence-continues-in-egypt/,20131129,5,3,23,0,0.0,0.0
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,20131201,69,67,554,45,0.9333,0.7826000000000001
/2013/12/02/the-unconquered/,20131202,24,24,67,1,1.0,0.4167
/2013/12/03/jp-morgan-fines/,20131203,18,15,239,6,0.8332999999999999,0.3889
/2013/12/04/turkey-one-step-forward-two-steps-back/,20131204,8,8,0,5,1.0,1.0
/2013/12/05/who-are-the-indian-mujahideen/,20131205,38,35,260,34,0.8234999999999999,0.8158
/2013/12/06/instagram-featuring-dictators/,20131206,18,14,45,3,0.6667000000000001,0.22219999999999998
/2013/12/10/race-to-mars/,20131210,17,17,57,7,1.0,0.6470999999999999
/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,20131213,61,55,347,44,0.8636,0.7868999999999999
/2013/12/15/france-israel-and-the-future-of-iranian-nuclear-talks/,20131215,16,15,25,5,0.6,0.5625
/2013/12/17/google-it/,20131217,59,56,51,30,0.8332999999999999,0.5932
/2013/12/17/six-blind-reformers-and-an-elephant/,20131217,8,7,22,1,1.0,0.375
/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,20131220,27,25,109,16,0.9375,0.7406999999999999
/2014/01/13/why-insurance-part-1-health/,20140113,17,13,161,4,0.75,0.29410000000000003
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,20140116,182,156,151,66,0.6970000000000001,0.5604
/2014/01/21/coming-soon-uchicago-political-union/,20140121,24,23,20,3,0.0,0.4583
/2014/01/22/introducing-supreme-court-spotlight-2/,20140122,24,22,146,5,0.8,0.3333
/2014/01/22/introducing-supreme-court-spotlight-2/?preview=true&preview_id=733&preview_nonce=ea4dbdea3a&post_format=standard,20140122,4,1,19,0,0.0,0.0
/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,20140124,141,136,190,113,0.9381,0.8582
/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,20140124,99,89,132,23,0.8695999999999999,0.44439999999999996
/2014/01/24/utah-strikes-back-the-next-stages-in-the-battle-for-same-sex-marriage/,20140124,36,32,40,15,0.9333,0.5832999999999999
/2014/01/27/the-flame-of-love-in-catching-fire/,20140127,37,32,69,19,0.8946999999999999,0.6486
/2014/01/27/why-insurance-part-2-access/,20140127,21,15,116,4,0.5,0.47619999999999996
/2014/01/28/years-after-mooc/,20140128,38,34,185,18,0.7778,0.6315999999999999
/2014/01/30/recess-appointments-did-obama-go-too-far/,20140130,37,34,59,19,0.9473999999999999,0.7027
/2014/01/31/panda-diplomacy/,20140131,156,131,286,115,0.8695999999999999,0.7564
/2014/01/31/anti-gay-law-in-nigeria/,20140131,101,91,191,70,0.8571,0.7228
/2014/01/31/,20140131,2,2,0,2,1.0,1.0
/2014/02/01/taking-safety-into-their-own-hands/,20140201,33,29,310,9,0.8889,0.48479999999999995
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,20140206,403,323,220,234,0.7094,0.6079
/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,20140206,53,49,77,33,0.9091,0.7358
/2014/02/06/so-long-and-thanks-for-all-the-fish-understanding-the-icj-ruling-on-the-chile-peru-border-dispute/,20140206,46,36,107,23,0.8261,0.5217
/2014/02/07/state-of-the-union-review/,20140207,8,8,47,1,1.0,0.25
/2014/02/10/mayor-emanuel-gets-schooled/,20140210,96,89,102,42,0.8809999999999999,0.5938
/2014/02/10/why-insurance-part-3-cost-of-care/,20140210,42,32,116,14,0.5,0.4048
/2014/02/12/ucpu-debate-humanitarian-intervention/,20140212,99,87,145,51,0.8626999999999999,0.6970000000000001
/2014/02/13/china-invests-in-africa/,20140213,137,122,153,98,0.7551000000000001,0.6568999999999999
/2014/02/13/,20140213,1,1,0,1,1.0,1.0
/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,20140218,97,89,99,76,0.8026000000000001,0.732
/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,20140219,72,66,124,43,0.8604999999999999,0.6528
/2014/02/24/health-beyond-medicine/,20140224,152,137,152,120,0.725,0.6711
/2014/02/24/pop-culture-podcast-episode-1/,20140224,89,82,164,58,0.7414000000000001,0.6854
/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,20140224,45,41,179,11,1.0,0.42219999999999996
/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/?preview=true&preview_id=922&preview_nonce=4c8a831937&post_format=standard,20140224,1,1,0,0,0.0,1.0
/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,20140225,89,78,149,50,0.7,0.6067
/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,20140225,75,57,77,38,0.6842,0.48
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,20140228,368,339,292,308,0.8929,0.8668
/2014/02/28/preview-supreme-court-2013-2014-term/,20140228,206,183,238,169,0.8639,0.8301000000000001
/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,20140228,73,66,89,37,0.8649,0.6027
/2014/03/04/vergara-v-california-v-students/,20140304,65,62,110,45,0.8889,0.7384999999999999
/2014/03/04/chiraq-an-unbalanced-portrayal-of-drill-music/,20140304,1,1,114,0,0.0,0.0
/2014/03/04/chiraq-an-unbalanced-portrayal-of-drill-music/?preview=true&preview_id=993&preview_nonce=077cfd7191&post_format=standard,20140304,1,1,0,0,0.0,1.0
/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,20140305,52,47,70,31,0.8065000000000001,0.6731
/2014/03/09/putin-and-obama-take-on-sochi/,20140309,85,82,37,48,0.8957999999999999,0.6823999999999999
/2014/03/10/in-putins-shoes/,20140310,125,110,174,79,0.7975,0.696
/2014/03/10/fixing-the-big-ms/,20140310,64,59,50,41,0.8293,0.7188
/2014/03/10/gop-forum/,20140310,51,47,61,38,0.8421,0.8039000000000001
/2014/03/10/the-big-ms/,20140310,23,22,218,19,0.7895,0.7391
/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,20140317,152,142,263,117,0.9059999999999999,0.8092
/2014/03/17/fighting-words/,20140317,98,79,211,59,0.8305,0.6735
/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,20140317,48,46,51,32,0.9688,0.7082999999999999
/2014/03/18/protests-in-venezuela/,20140318,125,114,232,46,0.8478,0.68
/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,20140319,156,124,168,93,0.7526999999999999,0.6474
/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,20140325,166,118,98,103,0.6214,0.6265
/2014/03/28/ucpu-debate-corporate-greed/,20140328,70,58,192,38,0.7895,0.6286
/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,20140329,72,61,71,36,0.75,0.5556
/2014/04/04/legacy-of-the-2012-2013-supreme-court/,20140404,68,61,94,45,0.8443999999999999,0.7353000000000001
/2014/04/06/mandatory-minimums-cooperation-on-reform/,20140406,91,82,36,72,0.8056,0.7692
/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,20140406,30,26,102,15,0.8,0.6333
/2014/04/07/de-blasios-education-promises/,20140407,51,44,168,18,0.7222,0.5489999999999999
/2014/04/07/two-twenty-four/,20140407,50,48,191,29,0.7241,0.7
/2014/04/07/border-diplomacy-why-afghanistan-supports-a-russian-crimea/,20140407,47,41,269,24,0.875,0.7234
/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,20140407,11,7,112,5,0.4,0.4545
/2014/04/13/1109/,20140413,38,33,36,4,0.75,0.4211
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,20140414,90,79,157,56,0.9286,0.7444
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/?fb_comment_id=fbc_326803470808897_1093585_327103184112259,20140414,2,1,266,1,0.0,0.5
/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,20140415,66,58,96,38,0.7895,0.6212
/2014/04/19/epilogue/,20140419,212,176,148,93,0.6559,0.5519
/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,20140419,28,26,180,16,0.875,0.6071
/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,20140421,60,48,66,28,0.7857,0.5333
/2014/04/21/closing-the-gap/,20140421,56,50,72,33,0.8787999999999999,0.7857
/2014/04/21/a-new-aca-case-scotus-takes-on-question-of-religious-liberties/,20140421,27,27,234,18,0.8889,0.6667000000000001
/2014/04/25/no-mans-land/,20140425,274,236,167,221,0.7240000000000001,0.7044
/2014/04/27/deportations-and-their-role-in-immigration-policy/,20140427,111,106,148,87,0.8391,0.7568
/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,20140428,56,50,80,28,0.8571,0.5357
/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,20140429,95,83,125,55,0.8,0.5789
/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,20140501,23,22,54,8,0.75,0.5217
/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,20140504,61,56,89,32,0.7188,0.5902000000000001
/2014/05/11/1204/,20140511,70,62,259,45,0.8667,0.7
/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,20140511,11,9,34,2,1.0,0.5455
/2014/05/12/to-build-a-future/,20140512,77,72,116,59,0.7966,0.7273000000000001
/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,20140514,24,23,44,17,0.8824,0.75
/2014/05/14/tackling-affirmative-action-scotus-examines-michigans-ban/,20140514,8,8,8,4,1.0,0.75
/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,20140515,33,31,138,14,1.0,0.5758
/2014/05/16/kasim-reed-atlantas-decisive-leader/,20140516,56,51,202,28,0.9286,0.6607
/2014/05/28/the-state-of-opinion-writing-an-interview-with-frank-rich/,20140528,60,52,217,35,0.6286,0.5832999999999999
/2014/05/29/review-last-week-tonight-with-john-oliver/,20140529,50,46,151,39,0.8462000000000001,0.74
