Article Title,Category,Date,URL,Pageviews,Unique Pageviews,Average Time (s),Entrances,Bounce Rate,Exit Rate
Introducing: Rxeform,Column: Rxeform,20131027,/2013/10/27/introducing-rxeform/,6,6,35,1,1.0,0.16670000000000001
Introducing: Shatter Zones,Column: Shatter Zones,20131027,/2013/10/27/introducing_shatterzones/,13,12,235,6,0.5,0.3846
Magnitsky: The perils of whistle-blowing in Russia,World,20131028,/2013/10/28/magnitsky-russia/,9,9,87,6,1.0,0.7778
Republicans Moving in on Illinois Gubernatorial Race,Chicago,20131029,/2013/10/29/republicans-illinois-gubernatorial-race/,9,8,61,8,0.875,0.8889
Objects in Space: The Gravity of Hollywoods Portrayal of Science,Arts & Culture,20131029,/2013/10/29/gravity-movie-and-science/,12,12,26,11,1.0,0.9167000000000001
Ed Gillespie: A discussion with a Republican strategist,Interviews,20131030,/2013/10/30/interview-with-ed-gillespie/,23,22,45,14,0.9286,0.6087
Is Le Pen Mightier?,World,20131030,/2013/10/30/is-le-pen-mightier/,6,6,22,1,1.0,0.5
Wendy Davis and the Battle for Texas,US,20131031,/2013/10/31/wendy-davis-texas/,29,27,235,23,0.8695999999999999,0.7931
John McCain: A statesman fit for compromise,Interviews,20131101,/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,11,11,121,2,1.0,0.4545
From Bread Lines to the Front Lines,World,20131105,/2013/11/05/bread-lines-to-front-lines/,8,8,21,7,0.8571,0.75
Migrants Marooned: The Italian immigration crisis deepens,World,20131105,/2013/11/05/migrants-marooned-italian-immigration-crisis/,39,37,22,32,0.9375,0.8718
Mark Leibovich: A conscious eye on a self-conscious city,Interviews,20131106,/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,8,8,72,4,1.0,0.625
Patrolling the Worlds Most Complicated Frontier,Column: Shatter Zones,20131110,/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,27,22,397,21,0.8571,0.7778
Interview with Farah Al Haddad,World,20131112,/2013/11/12/farah-al-haddad-interview/,23,21,94,20,0.95,0.8695999999999999
A Big Stuff Moment,Opinions,20131113,/2013/11/13/a-big-stuff-moment/,4,4,36,2,1.0,0.75
The True Meaning of the Shutstorm,US,20131113,/2013/11/13/the-true-meaning-of-the-shutstorm/,1,1,0,0,0.0,1.0
The Captain Has the Con: Fact and Fiction in Captain Phillips,Arts & Culture,20131114,/2013/11/14/the-captain-has-the-con-fact-and-fiction-in-captain-phillips/,97,93,143,92,0.9457,0.9484999999999999
Syria and Sectarianism: Spillover Violence in Lebanon,World,20131114,/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,12,12,59,7,0.8571,0.5
Superfood to the Rescue?,World,20131115,/2013/11/15/superfood-to-the-rescue/,56,54,373,52,0.9231,0.9286
Malaysian Court Rules Against Minorities Right to Use Allah,World,20131115,/2013/11/15/malaysian-court-minorities-allah/,3,3,10,2,1.0,0.6667000000000001
Shutdown 2013: Acts of Self-Interest,Opinions,20131118,/2013/11/18/shutdown-2013-self-interest/,12,12,12,2,0.0,0.4167
Feinstein Stands by the NSA,US,20131118,/2013/11/18/feinstein-stands-by-the-nsa/,9,7,63,2,0.5,0.44439999999999996
Healthcare Reform: Today and Tomorrow,Column: Rxeform,20131119,/2013/11/19/healthcare-reform-today-and-tomorrow/,21,18,233,9,0.7778,0.5238
Proposed Bike Registration Sparks Generational Divide,Chicago,20131120,/2013/11/20/proposed-bike-tax-chicago/,5,5,11,3,1.0,0.8
Election Violence in the Philippines,World,20131120,/2013/11/20/election-violence-in-the-philippines/,33,32,276,25,0.88,0.8181999999999999
Claire McCaskill: A leading voice on both sides of the aisle,Interviews,20131121,/2013/11/21/claire-mccaskill-a-leading-voice-on-both-sides-of-the-aisle/,6,5,23,1,1.0,0.3333
"Raise Scores, Then Wages",US,20131121,/2013/11/21/raise-scores-then-wages/,16,15,54,5,0.8,0.625
Damage-Control Diplomacy: Kerrys Visit to Saudi Arabia,World,20131121,/2013/11/21/damage-control-diplomacy-kerrys-visit-to-saudi-arabia/,91,80,64,77,0.8571,0.8571
Officials Review Response to 2008 Crisis,Chicago,20131122,/2013/11/22/officials-review-response-to-2008-crisis/,6,6,16,1,1.0,0.5
Years in the Making: Is Hollywood ready to talk seriously about slavery?,Arts & Culture,20131122,/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,7,7,151,3,1.0,0.5714
Illinois Without Career Politicians?,Chicago,20131125,/2013/11/25/illinois-without-career-politicians/,20,16,158,9,0.8889,0.55
Crossing Blurred Lines: Did Robin Thicke plagiarize his hit single?,Arts & Culture,20131126,/2013/11/26/thick-blurred-lines-plagiarism/,75,69,255,65,0.8769,0.88
Suriname and Hezbollah,World,20131128,/2013/11/28/suriname-and-hezbollah/,29,25,33,21,0.8095,0.6897
Demarcating Chinas Imaginary Valleys,Column: Shatter Zones,20131128,/2013/11/28/demarcating-chinas-imaginary-valleys/,28,23,17,6,1.0,0.4286
Nazi-looted Art Finally Uncovered,World,20131129,/2013/11/29/nazi-looted-art-finally-uncovered/,17,15,153,12,0.8332999999999999,0.7646999999999999
Violence Continues in Egypt,World,20131129,/2013/11/29/violence-continues-in-egypt/,5,3,23,0,0.0,0.0
Jon Favreau: The voice behind a generational voice,Interviews,20131201,/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,69,67,554,45,0.9333,0.7826000000000001
The Unconquered,Column: Rxeform,20131202,/2013/12/02/the-unconquered/,24,24,67,1,1.0,0.4167
J.P. Morgan Pays $13 Billion in Fines: Is it enough?,US,20131203,/2013/12/03/jp-morgan-fines/,18,15,239,6,0.8332999999999999,0.3889
"Turkey: One Step Forward, Two Steps Back",World,20131204,/2013/12/04/turkey-one-step-forward-two-steps-back/,8,8,0,5,1.0,1.0
Who Are The Indian Mujahideen?,World,20131205,/2013/12/05/who-are-the-indian-mujahideen/,38,35,260,34,0.8234999999999999,0.8158
Instagram Featuring Dictators,Arts & Culture,20131206,/2013/12/06/instagram-featuring-dictators/,18,14,45,3,0.6667000000000001,0.22219999999999998
Race to Mars,US,20131210,/2013/12/10/race-to-mars/,17,17,57,7,1.0,0.6470999999999999
Race to Mars,World,20131210,/2013/12/10/race-to-mars/,17,17,57,7,1.0,0.6470999999999999
"The Old, the Young, and the Inter-generational Transfer of Wealth",US,20131213,/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,61,55,347,44,0.8636,0.7868999999999999
"France, Israel, and the Future of Iranian Nuclear Talks",World,20131215,/2013/12/15/france-israel-and-the-future-of-iranian-nuclear-talks/,16,15,25,5,0.6,0.5625
Google it?,Opinions,20131217,/2013/12/17/google-it/,59,56,51,30,0.8332999999999999,0.5932
Six Blind Reformers and an Elephant,US,20131217,/2013/12/17/six-blind-reformers-and-an-elephant/,8,7,22,1,1.0,0.375
Rohingya Refugees: Trapped between Arakan and a hard place,World,20131220,/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,27,25,109,16,0.9375,0.7406999999999999
Why Insurance?: Part 1  Health,Column: Rxeform,20140113,/2014/01/13/why-insurance-part-1-health/,17,13,161,4,0.75,0.29410000000000003
Cracks in the Basin  Part 1: Illinois: A National Model?,Chicago,20140116,/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,182,156,151,66,0.6970000000000001,0.5604
Coming Soon: UChicago Political Union,Column: UCPU,20140121,/2014/01/21/coming-soon-uchicago-political-union/,24,23,20,3,0.0,0.4583
Introducing: Supreme Court Spotlight,Column: Supreme Court Spotlight,20140122,/2014/01/22/introducing-supreme-court-spotlight-2/,24,22,146,5,0.8,0.3333
"Cracks in the Basin  Part 2: Big Greens, Little Greens, and a Fractured Opposition",Chicago,20140124,/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,99,89,132,23,0.8695999999999999,0.44439999999999996
Tommy Vietor: Bridging the gap between the public and the classified,Interviews,20140124,/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,141,136,190,113,0.9381,0.8582
Utah Strikes Back: The next stages in the battle for same-sex marriage,Column: Supreme Court Spotlight,20140124,/2014/01/24/utah-strikes-back-the-next-stages-in-the-battle-for-same-sex-marriage/,36,32,40,15,0.9333,0.5832999999999999
The Flame of Love in Catching Fire,Arts & Culture,20140127,/2014/01/27/the-flame-of-love-in-catching-fire/,37,32,69,19,0.8946999999999999,0.6486
Why Insurance?: Part 2  Access,Column: Rxeform,20140127,/2014/01/27/why-insurance-part-2-access/,21,15,116,4,0.5,0.47619999999999996
The Year After the Year of the MOOC,US,20140128,/2014/01/28/years-after-mooc/,38,34,185,18,0.7778,0.6315999999999999
Recess Appointments: Did Obama go too far?,Column: Supreme Court Spotlight,20140130,/2014/01/30/recess-appointments-did-obama-go-too-far/,37,34,59,19,0.9473999999999999,0.7027
Anti-Gay Law in Nigeria,World,20140131,/2014/01/31/anti-gay-law-in-nigeria/,101,91,191,70,0.8571,0.7228
Panda Diplomacy,World,20140131,/2014/01/31/panda-diplomacy/,156,131,286,115,0.8695999999999999,0.7564
Taking Safety into Their Own Hands,World,20140201,/2014/02/01/taking-safety-into-their-own-hands/,33,29,310,9,0.8889,0.48479999999999995
State of the State: Governor Quinn unofficially kicks off his campaign,Chicago,20140206,/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,53,49,77,33,0.9091,0.7358
Cracks in the Basin  Part 3: The Whole County is Fracked,Chicago,20140206,/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,403,323,220,234,0.7094,0.6079
"So Long, and Thanks for All the Fish: Understanding the ICJ ruling on the Chile-Peru border dispute",Column: Shatter Zones,20140206,/2014/02/06/so-long-and-thanks-for-all-the-fish-understanding-the-icj-ruling-on-the-chile-peru-border-dispute/,46,36,107,23,0.8261,0.5217
State of the Union Review,US,20140207,/2014/02/07/state-of-the-union-review/,8,8,47,1,1.0,0.25
Mayor Emanuel Gets Schooled,Chicago,20140210,/2014/02/10/mayor-emanuel-gets-schooled/,96,89,102,42,0.8809999999999999,0.5938
Why Insurance?: Part 3  Cost of Care,Column: Rxeform,20140210,/2014/02/10/why-insurance-part-3-cost-of-care/,42,32,116,14,0.5,0.4048
UCPU Debate: Humanitarian Intervention,Column: UCPU,20140212,/2014/02/12/ucpu-debate-humanitarian-intervention/,99,87,145,51,0.8626999999999999,0.6970000000000001
China Invests in Africa,World,20140213,/2014/02/13/china-invests-in-africa/,137,122,153,98,0.7551000000000001,0.6568999999999999
"Private Lives, Public Figures: The politics of Frances First Lady",World,20140218,/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,97,89,99,76,0.8026000000000001,0.732
In the Minority: An Interview with Reps Kelly (R-NY) and Davis (D-TN),Interviews,20140219,/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,72,66,124,43,0.8604999999999999,0.6528
De Blasio Promises Best Plan for Universal Pre-K,Opinions,20140224,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,45,41,179,11,1.0,0.42219999999999996
Pop Culture Podcast: Episode 1,Arts & Culture,20140224,/2014/02/24/pop-culture-podcast-episode-1/,89,82,164,58,0.7414000000000001,0.6854
De Blasio Promises Best Plan for Universal Pre-K,US,20140224,/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,45,41,179,11,1.0,0.42219999999999996
Health Beyond Medicine,Column: Rxeform,20140224,/2014/02/24/health-beyond-medicine/,152,137,152,120,0.725,0.6711
Saving More than Kenneth Bae: US foreign policy in North Korea,Opinions,20140225,/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,89,78,149,50,0.7,0.6067
House Republicans Take Vine: Social media and political discourse,US,20140225,/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,75,57,77,38,0.6842,0.48
Chiraq: An unbalanced portrayal of drill music,Arts & Culture,20140228,/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,368,339,292,308,0.8929,0.8668
Shelby County v. Holder: A setback for liberal voting rights activists,US,20140228,/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,73,66,89,37,0.8649,0.6027
Preview: Supreme Court 2013-2014 Term,Column: Supreme Court Spotlight,20140228,/2014/02/28/preview-supreme-court-2013-2014-term/,206,183,238,169,0.8639,0.8301000000000001
Vergara v. California v. Students?,US,20140304,/2014/03/04/vergara-v-california-v-students/,65,62,110,45,0.8889,0.7384999999999999
Crisis in Turkey: Arrests reveal the dark sides of former allies,World,20140305,/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,52,47,70,31,0.8065000000000001,0.6731
Putin and Obama Take on Sochi,Column: Cartoons,20140309,/2014/03/09/putin-and-obama-take-on-sochi/,85,82,37,48,0.8957999999999999,0.6823999999999999
GOP Forum: Rauners opponents on the offensive,Chicago,20140310,/2014/03/10/gop-forum/,51,47,61,38,0.8421,0.8039000000000001
In Putins Shoes,World,20140310,/2014/03/10/in-putins-shoes/,125,110,174,79,0.7975,0.696
Fixing the Big Ms,Column: Rxeform,20140310,/2014/03/10/fixing-the-big-ms/,64,59,50,41,0.8293,0.7188
Where are the Pragmatists? Cantors foreign policy and the Republican response,US,20140317,/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,48,46,51,32,0.9688,0.7082999999999999
Vandalizing the Diary of Anne Frank: Shift of sentiment or colossal coincidence?,World,20140317,/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,152,142,263,117,0.9059999999999999,0.8092
Fighting Words,World,20140317,/2014/03/17/fighting-words/,98,79,211,59,0.8305,0.6735
Protests in Venezuela: Why now?,World,20140318,/2014/03/18/protests-in-venezuela/,125,114,232,46,0.8478,0.68
A Chicagoan Reviews Chicagoland  Episode 1,Chicago,20140319,/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,156,124,168,93,0.7526999999999999,0.6474
A Chicagoan Reviews Chicagoland  Episode 2,Chicago,20140325,/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,166,118,98,103,0.6214,0.6265
UCPU Debate: Corporate Greed,Column: UCPU,20140328,/2014/03/28/ucpu-debate-corporate-greed/,70,58,192,38,0.7895,0.6286
A Chicagoan Reviews Chicagoland  Episode 3,Chicago,20140329,/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,72,61,71,36,0.75,0.5556
How Will History Remember It?: Legacy of the 2012-2013 Supreme Court term,Column: Supreme Court Spotlight,20140404,/2014/04/04/legacy-of-the-2012-2013-supreme-court/,68,61,94,45,0.8443999999999999,0.7353000000000001
A Chicagoan Reviews Chicagoland  Episode 4,Chicago,20140406,/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,30,26,102,15,0.8,0.6333
Mandatory Minimums: Cooperation on reform?,US,20140406,/2014/04/06/mandatory-minimums-cooperation-on-reform/,91,82,36,72,0.8056,0.7692
A Chicagoan Reviews Chicagoland  Episode 5,Chicago,20140407,/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,11,7,112,5,0.4,0.4545
De Blasios Education Promises,US,20140407,/2014/04/07/de-blasios-education-promises/,51,44,168,18,0.7222,0.5489999999999999
Two Twenty Four,Column: Rxeform,20140407,/2014/04/07/two-twenty-four/,50,48,191,29,0.7241,0.7
Border Diplomacy: Why Afghanistan Supports a Russian Crimea,Column: Shatter Zones,20140407,/2014/04/07/border-diplomacy-why-afghanistan-supports-a-russian-crimea/,47,41,269,24,0.875,0.7234
Perspectives,Column: Cartoons,20140413,/2014/04/13/1109/,38,33,36,4,0.75,0.4211
Riding with Strangers: Regulating ride-sharing in Chicago and Illinois,Chicago,20140414,/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,90,79,157,56,0.9286,0.7444
Ana Navarro: A Republican on the rise,Interviews,20140415,/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,66,58,96,38,0.7895,0.6212
Cracks in the Basin  Part 4: Epilogue: Literally divided now,Chicago,20140419,/2014/04/19/epilogue/,212,176,148,93,0.6559,0.5519
A Chicagoan Reviews Chicagoland  Episode 6,Chicago,20140419,/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,28,26,180,16,0.875,0.6071
New CEOs Controversial Resignation From Mozilla Corporation,US,20140421,/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,60,48,66,28,0.7857,0.5333
Closing the Gap,Column: Rxeform,20140421,/2014/04/21/closing-the-gap/,56,50,72,33,0.8787999999999999,0.7857
A New ACA Case: SCOTUS takes on question of religious liberties,Column: Supreme Court Spotlight,20140421,/2014/04/21/a-new-aca-case-scotus-takes-on-question-of-religious-liberties/,27,27,234,18,0.8889,0.6667000000000001
No Mans Land,Column: Shatter Zones,20140425,/2014/04/25/no-mans-land/,274,236,167,221,0.7240000000000001,0.7044
Deportations and their Role in Immigration Policy,US,20140427,/2014/04/27/deportations-and-their-role-in-immigration-policy/,111,106,148,87,0.8391,0.7568
Childs Play: The curious problem with Pakistans judicial system,World,20140428,/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,56,50,80,28,0.8571,0.5357
Incentivizing Education: Performance-based compensation for teachers,US,20140429,/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,95,83,125,55,0.8,0.5789
A Chicagoan Reviews Chicagoland  Episode 7,Chicago,20140501,/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,23,22,54,8,0.75,0.5217
Senators Mark Kirk and Dick Durbin: A rare bipartisan bromance?,Chicago,20140504,/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,61,56,89,32,0.7188,0.5902000000000001
A Chicagoan Reviews Chicagoland  Episode 8,Chicago,20140511,/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,11,9,34,2,1.0,0.5455
The Aftermath of an Avalanche,World,20140511,/2014/05/11/1204/,70,62,259,45,0.8667,0.7
To Build a Future,Column: Rxeform,20140512,/2014/05/12/to-build-a-future/,77,72,116,59,0.7966,0.7273000000000001
State Reps Attack Illinois State Charter School Commission,Chicago,20140514,/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,24,23,44,17,0.8824,0.75
Tackling Affirmative Action: SCOTUS examines Michigans ban,Column: Supreme Court Spotlight,20140514,/2014/05/14/tackling-affirmative-action-scotus-examines-michigans-ban/,8,8,8,4,1.0,0.75
Chinese Companies on US Exchanges: Is this time different?,US,20140515,/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,33,31,138,14,1.0,0.5758
Kasim Reed: Atlantas Decisive Leader,Interviews,20140516,/2014/05/16/kasim-reed-atlantas-decisive-leader/,56,51,202,28,0.9286,0.6607
The State of Opinion Writing: An Interview with Frank Rich,Interviews,20140528,/2014/05/28/the-state-of-opinion-writing-an-interview-with-frank-rich/,60,52,217,35,0.6286,0.5832999999999999
Review: Last Week Tonight with John Oliver,Arts & Culture,20140529,/2014/05/29/review-last-week-tonight-with-john-oliver/,50,46,151,39,0.8462000000000001,0.74
