Article URL,Date,Pageviews,Unique Page Views,Average Time,Entrances,Bounce Rate,Exit Rate
/2013/11/29/nazi-looted-art-finally-uncovered/,20131129,3,3,0,2,1.0,1.0
/2013/11/29/violence-continues-in-egypt/,20131129,3,1,25,0,0.0,0.0
/2013/12/01/jon-favreau-the-voice-behind-a-generational-voice/,20131201,23,22,434,18,0.9444,0.8695999999999999
/2013/12/02/the-unconquered/,20131202,5,5,63,0,0.0,0.4
/2013/12/03/jp-morgan-fines/,20131203,3,2,97,0,0.0,0.0
/2013/12/05/who-are-the-indian-mujahideen/,20131205,3,3,26,3,0.6667000000000001,0.6667000000000001
/2013/12/06/instagram-featuring-dictators/,20131206,4,2,17,1,1.0,0.25
/2013/12/10/race-to-mars/,20131210,5,5,12,1,1.0,0.4
/2013/12/13/the-old-the-young-and-the-inter-generational-transfer-of-wealth/,20131213,15,14,1323,14,0.9286,0.9333
/2013/12/15/france-israel-and-the-future-of-iranian-nuclear-talks/,20131215,3,3,78,1,1.0,0.6667000000000001
/2013/12/17/google-it/,20131217,25,23,99,17,0.8234999999999999,0.68
/2013/12/17/six-blind-reformers-and-an-elephant/,20131217,1,1,44,0,0.0,0.0
/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,20131220,4,4,0,4,1.0,1.0
/2014/01/16/cracks-in-the-basin-part-1-illinois-a-national-model/,20140116,47,40,105,18,0.9444,0.617
/2014/01/21/coming-soon-uchicago-political-union/,20140121,4,4,3,1,0.0,0.5
/2014/01/22/introducing-supreme-court-spotlight-2/,20140122,2,2,22,1,1.0,0.5
/2014/01/24/tommy-vietor-bridging-the-gap-between-the-public-and-the-classified/,20140124,87,84,374,81,0.9506,0.9425
/2014/01/24/cracks-in-the-basin-part-2-big-greens-little-greens-and-a-fractured-opposition/,20140124,22,17,100,3,1.0,0.2727
/2014/01/24/utah-strikes-back-the-next-stages-in-the-battle-for-same-sex-marriage/,20140124,2,2,12,0,0.0,0.0
/2014/01/27/the-flame-of-love-in-catching-fire/,20140127,6,6,83,6,0.8332999999999999,0.8332999999999999
/2014/01/28/years-after-mooc/,20140128,3,3,0,3,0.3333,1.0
/2014/01/30/recess-appointments-did-obama-go-too-far/,20140130,7,7,0,7,1.0,1.0
/2014/01/31/panda-diplomacy/,20140131,13,11,282,8,0.75,0.6923
/2014/01/31/anti-gay-law-in-nigeria/,20140131,7,6,182,6,0.8332999999999999,0.8571
/2014/02/01/taking-safety-into-their-own-hands/,20140201,1,1,5,0,0.0,0.0
/2014/02/06/cracks-in-the-basin-part-3-the-whole-county-is-fracked/,20140206,77,63,141,52,0.7115,0.6494
/2014/02/06/so-long-and-thanks-for-all-the-fish-understanding-the-icj-ruling-on-the-chile-peru-border-dispute/,20140206,14,10,74,7,0.8571,0.5
/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,20140206,10,10,0,9,1.0,1.0
/2014/02/10/mayor-emanuel-gets-schooled/,20140210,4,4,0,4,1.0,1.0
/2014/02/10/why-insurance-part-3-cost-of-care/,20140210,3,3,39,2,0.0,0.0
/2014/02/12/ucpu-debate-humanitarian-intervention/,20140212,12,11,94,8,0.75,0.6667000000000001
/2014/02/13/china-invests-in-africa/,20140213,5,5,628,4,0.5,0.4
/2014/02/18/private-lives-public-figures-the-politics-of-frances-first-lady/,20140218,16,14,40,14,0.8571,0.875
/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,20140219,4,4,9,1,1.0,0.5
/2014/02/24/health-beyond-medicine/,20140224,7,7,61,6,0.6667000000000001,0.7143
/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,20140224,5,5,3,1,1.0,0.6
/2014/02/24/pop-culture-podcast-episode-1/,20140224,4,4,0,2,1.0,1.0
/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,20140225,8,5,63,2,0.5,0.375
/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,20140225,8,8,367,5,0.8,0.75
/2014/02/28/preview-supreme-court-2013-2014-term/,20140228,86,78,293,77,0.8961,0.8837
/2014/02/28/chiraq-an-unbalanced-portrayal-of-drill-music/,20140228,69,67,291,60,0.95,0.9129999999999999
/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,20140228,11,10,37,6,1.0,0.7273000000000001
/2014/03/04/vergara-v-california-v-students/,20140304,6,6,0,6,1.0,1.0
/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,20140305,2,2,0,1,1.0,1.0
/2014/03/09/putin-and-obama-take-on-sochi/,20140309,10,10,14,2,1.0,0.5
/2014/03/10/fixing-the-big-ms/,20140310,5,5,29,5,0.6,0.6
/2014/03/10/in-putins-shoes/,20140310,5,5,187,3,0.6667000000000001,0.4
/2014/03/10/gop-forum/,20140310,2,1,19,0,0.0,0.5
/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,20140317,10,10,19,5,1.0,0.7
/2014/03/17/fighting-words/,20140317,5,4,146,3,1.0,0.6
/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,20140317,1,1,0,0,0.0,1.0
/2014/03/18/protests-in-venezuela/,20140318,16,16,216,8,0.875,0.6875
/2014/03/19/a-chigoan-reviews-chicagoland-episode-1/,20140319,22,17,102,14,0.6429,0.5909
/2014/03/25/a-chicagoan-reviews-chicagoland-episode-2/,20140325,53,40,50,37,0.7027,0.7170000000000001
/2014/03/28/ucpu-debate-corporate-greed/,20140328,13,10,270,5,0.6,0.6154
/2014/03/29/a-chicagoan-reviews-chicagoland-episode-3/,20140329,14,13,145,11,0.8181999999999999,0.7143
/2014/04/04/legacy-of-the-2012-2013-supreme-court/,20140404,14,13,41,10,0.9,0.8571
/2014/04/06/mandatory-minimums-cooperation-on-reform/,20140406,16,11,32,10,0.5,0.625
/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,20140406,12,9,69,7,0.5714,0.5832999999999999
/2014/04/07/border-diplomacy-why-afghanistan-supports-a-russian-crimea/,20140407,24,18,446,13,0.7692,0.7082999999999999
/2014/04/07/de-blasios-education-promises/,20140407,18,15,119,8,0.625,0.6111
/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,20140407,8,5,152,4,0.5,0.5
/2014/04/07/two-twenty-four/,20140407,1,1,0,0,0.0,1.0
/2014/04/13/1109/,20140413,19,17,32,1,1.0,0.36840000000000006
/2014/04/14/riding-with-strangers-regulating-ride-sharing-in-chicago-and-illinois/,20140414,39,34,261,32,0.9062,0.8205
/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,20140415,13,13,53,4,0.75,0.46149999999999997
/2014/04/19/epilogue/,20140419,147,123,115,64,0.6562,0.5646
/2014/04/19/a-chicagoan-reviews-chicagoland-episode-6/,20140419,26,24,197,16,0.875,0.6154
/2014/04/21/new-ceos-controversial-resignation-from-mozilla-corporation/,20140421,59,47,68,28,0.7857,0.5424
/2014/04/21/closing-the-gap/,20140421,52,47,77,31,0.9031999999999999,0.8077
/2014/04/21/a-new-aca-case-scotus-takes-on-question-of-religious-liberties/,20140421,26,26,262,18,0.8889,0.6923
/2014/04/25/no-mans-land/,20140425,260,224,166,212,0.7264,0.7154
/2014/04/27/deportations-and-their-role-in-immigration-policy/,20140427,104,99,168,85,0.8353,0.7787999999999999
/2014/04/28/childs-play-the-curious-problem-with-pakistans-judicial-system/,20140428,53,47,82,26,0.8462000000000001,0.5283
/2014/04/29/incentivizing-education-performance-based-compensation-for-teachers/,20140429,78,66,121,41,0.7561,0.5256000000000001
/2014/05/01/a-chicagoan-reviews-chicagoland-episode-7/,20140501,20,19,64,6,0.8332999999999999,0.55
/2014/05/04/senators-mark-kirk-and-dick-durbin-a-rare-bipartisan-bromance/,20140504,58,53,92,30,0.7,0.5861999999999999
/2014/05/11/1204/,20140511,59,51,278,37,0.8378,0.6779999999999999
/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,20140511,7,6,11,2,1.0,0.7143
/2014/05/12/to-build-a-future/,20140512,74,69,121,57,0.7895,0.7297
/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,20140514,14,13,13,12,0.8332999999999999,0.7857
/2014/05/14/tackling-affirmative-action-scotus-examines-michigans-ban/,20140514,3,3,5,0,0.0,0.6667000000000001
/2014/05/15/chinese-companies-on-us-exchanges-is-this-time-different/,20140515,17,16,188,6,1.0,0.5882000000000001
/2014/05/16/kasim-reed-atlantas-decisive-leader/,20140516,40,35,186,24,0.9167000000000001,0.725
