# ----------------------------------------
# All Web Site Data
# Pages
# 20140420-20140520
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2014/04/04/legacy-of-the-2012-2013-supreme-court/,14,13,00:00:41,10,90.00%,85.71%,$0.00
/2014/05/14/state-reps-attack-illinois-state-charter-school-commission/,14,13,00:00:13,12,83.33%,78.57%,$0.00
/2013/11/05/migrants-marooned-italian-immigration-crisis/,13,12,00:00:02,12,91.67%,92.31%,$0.00
/2014/01/31/panda-diplomacy/,13,11,00:04:42,8,75.00%,69.23%,$0.00
/2014/03/28/ucpu-debate-corporate-greed/,13,10,00:04:30,5,60.00%,61.54%,$0.00
/2014/04/15/ana-navarro-rising-republican-adviser-weighs-in-on-women-hispanics-and-the-gop/,13,13,00:00:53,4,75.00%,46.15%,$0.00
/author/aneri-amin/,13,11,00:00:13,10,60.00%,61.54%,$0.00
/category/world/page/2/,13,12,00:00:11,0,0.00%,15.38%,$0.00
/2014/02/12/ucpu-debate-humanitarian-intervention/,12,11,00:01:34,8,75.00%,66.67%,$0.00
/2014/04/06/a-chicagoan-reviews-chicagoland-episode-4/,12,9,00:01:09,7,57.14%,58.33%,$0.00
/author/dascott/,12,9,00:00:24,0,0.00%,16.67%,$0.00
/author/lwetterstrom/,12,7,00:00:11,4,50.00%,25.00%,$0.00
/2014/02/28/shelby-county-v-holder-a-setback-for-liberal-voting-rights-activists/,11,10,00:00:37,6,100.00%,72.73%,$0.00
/category/chicago/page/2/,11,10,00:00:07,1,100.00%,9.09%,$0.00
/category/national/page/2/,11,11,00:00:11,2,50.00%,27.27%,$0.00
/2014/02/06/illinois-state-of-the-state-governor-quinn-unofficially-kicks-off-his-campaign/,10,10,00:00:00,9,100.00%,100.00%,$0.00
/2014/03/09/putin-and-obama-take-on-sochi/,10,10,00:00:14,2,100.00%,50.00%,$0.00
/2014/03/17/vandalizing-the-diary-of-anne-frank-shift-of-sentiment-or-colossal-coincidence/,10,10,00:00:19,5,100.00%,70.00%,$0.00
/author/dsimon/,10,6,00:00:19,6,33.33%,40.00%,$0.00
/?s=Sam+Preston&submit=Search,9,1,00:00:11,0,0.00%,0.00%,$0.00
/author/nklein/,9,6,00:01:19,5,40.00%,66.67%,$0.00
/category/chicago/page/3/,9,9,00:00:06,0,0.00%,0.00%,$0.00
/2013/11/20/election-violence-in-the-philippines/,8,7,00:07:45,7,85.71%,87.50%,$0.00
/2014/02/25/house-republicans-take-vine-social-media-and-political-discourse/,8,5,00:01:03,2,50.00%,37.50%,$0.00
/2014/02/25/saving-more-than-kenneth-bae-us-foreign-policy-in-north-korea/,8,8,00:06:07,5,80.00%,75.00%,$0.00
/2014/04/07/a-chicagoan-reviews-chicagoland-episode-5/,8,5,00:02:32,4,50.00%,50.00%,$0.00
/2013/10/30/interview-with-ed-gillespie/,7,6,00:01:12,3,100.00%,57.14%,$0.00
/2013/11/21/raise-scores-then-wages/,7,7,00:02:13,1,100.00%,71.43%,$0.00
/2013/11/28/suriname-and-hezbollah/,7,6,00:00:21,4,100.00%,57.14%,$0.00
/2014/01/30/recess-appointments-did-obama-go-too-far/,7,7,00:00:00,7,100.00%,100.00%,$0.00
/2014/01/31/anti-gay-law-in-nigeria/,7,6,00:03:02,6,83.33%,85.71%,$0.00
/2014/02/24/health-beyond-medicine/,7,7,00:01:01,6,66.67%,71.43%,$0.00
/2014/05/11/a-chicagoan-reviews-chicagoland-episode-8/,7,6,00:00:11,2,100.00%,71.43%,$0.00
/author/kaanulgen/,7,5,00:00:21,5,40.00%,42.86%,$0.00
/category/chicago/page/4/,7,7,00:00:07,0,0.00%,28.57%,$0.00
/category/opinion/page/2/,7,6,00:00:08,0,0.00%,28.57%,$0.00
/?s=chelsea+fine&submit=Search,6,5,00:00:17,1,0.00%,50.00%,$0.00
/2013/07/15/vladimir-zhirinovsky-a-profile-in-outrage/,6,6,00:01:37,5,100.00%,83.33%,$0.00
/2013/08/05/politically-incorrect-maroon-confessions/,6,6,00:00:00,6,83.33%,100.00%,$0.00
/2013/11/28/demarcating-chinas-imaginary-valleys/,6,2,00:00:21,1,100.00%,16.67%,$0.00
/2014/01/27/the-flame-of-love-in-catching-fire/,6,6,00:01:23,6,83.33%,83.33%,$0.00
/2014/03/04/vergara-v-california-v-students/,6,6,00:00:00,6,100.00%,100.00%,$0.00
/author/alascalag/,6,6,00:01:34,5,80.00%,66.67%,$0.00
/author/cjsun/,6,6,00:01:34,1,100.00%,50.00%,$0.00
/author/dascott/page/2/,6,3,00:00:10,0,0.00%,0.00%,$0.00
/author/fracking/,6,3,00:00:15,0,0.00%,0.00%,$0.00
/category/columns/supremecourtspotlight/page/2/,6,6,00:00:07,0,0.00%,0.00%,$0.00
/category/world/page/3/,6,6,00:00:13,0,0.00%,16.67%,$0.00
/?s=dana+scott&submit=Search,5,3,00:00:23,0,0.00%,0.00%,$0.00
/?s=frack&submit=Search,5,1,00:00:06,0,0.00%,0.00%,$0.00
/?s=sam+preston&submit=Search,5,3,00:00:19,0,0.00%,40.00%,$0.00
/2013/10/15/interview-george-packer/,5,5,00:00:03,3,100.00%,80.00%,$0.00
/2013/11/10/patrolling-the-worlds-most-complicated-frontier/,5,5,00:00:00,5,100.00%,100.00%,$0.00
/2013/11/25/illinois-without-career-politicians/,5,4,00:01:33,3,66.67%,60.00%,$0.00
/2013/12/02/the-unconquered/,5,5,00:01:03,0,0.00%,40.00%,$0.00
/2013/12/10/race-to-mars/,5,5,00:00:12,1,100.00%,40.00%,$0.00
/2014/02/13/china-invests-in-africa/,5,5,00:10:28,4,50.00%,40.00%,$0.00
/2014/02/24/de-blasio-promises-best-plan-for-universal-pre-k/,5,5,00:00:03,1,100.00%,60.00%,$0.00
/2014/03/10/fixing-the-big-ms/,5,5,00:00:29,5,60.00%,60.00%,$0.00
/2014/03/10/in-putins-shoes/,5,5,00:03:07,3,66.67%,40.00%,$0.00
/2014/03/17/fighting-words/,5,4,00:02:26,3,100.00%,60.00%,$0.00
/author/apappajohn/,5,4,00:03:41,4,50.00%,40.00%,$0.00
/author/dloyorosales/,5,4,00:02:32,4,50.00%,60.00%,$0.00
/author/jsattler/,5,4,00:00:06,1,100.00%,80.00%,$0.00
/author/jthowry/page/2/,5,5,00:00:04,0,0.00%,0.00%,$0.00
/author/jthowry/page/3/,5,5,00:00:05,0,0.00%,20.00%,$0.00
/author/lizstark/,5,4,00:00:13,3,33.33%,40.00%,$0.00
/category/interviews/page/2/,5,4,00:01:29,0,0.00%,0.00%,$0.00
/category/national/education/page/2/,5,5,00:00:07,0,0.00%,20.00%,$0.00
/category/national/page/3/,5,5,00:00:10,0,0.00%,40.00%,$0.00
/category/world/page/4/,5,5,00:01:24,1,0.00%,0.00%,$0.00
/2013/10/29/gravity-movie-and-science/,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2013/10/31/wendy-davis-texas/,4,4,00:01:04,3,100.00%,75.00%,$0.00
/2013/12/06/instagram-featuring-dictators/,4,2,00:00:17,1,100.00%,25.00%,$0.00
/2013/12/20/rohingya-refugees-trapped-between-arakan-and-a-hard-place/,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2014/01/21/coming-soon-uchicago-political-union/,4,4,00:00:03,1,0.00%,50.00%,$0.00
/2014/02/10/mayor-emanuel-gets-schooled/,4,4,00:00:00,4,100.00%,100.00%,$0.00
/2014/02/19/in-the-minority-an-interview-with-representatives-kelly-r-ny-and-davis-d-tn/,4,4,00:00:09,1,100.00%,50.00%,$0.00
/2014/02/24/pop-culture-podcast-episode-1/,4,4,00:00:00,2,100.00%,100.00%,$0.00
/author/ahoare/,4,3,00:00:14,1,100.00%,75.00%,$0.00
/author/alinton/,4,3,00:00:34,2,50.00%,50.00%,$0.00
/author/astapleton/page/2/,4,3,00:00:07,0,0.00%,0.00%,$0.00
/author/courtneyk/,4,2,00:01:51,1,0.00%,0.00%,$0.00
/author/dascott/page/3/,4,3,00:00:25,0,0.00%,50.00%,$0.00
/author/lwetterstrom/page/2/,4,4,00:00:11,1,0.00%,0.00%,$0.00
/author/noahw/,4,2,00:09:21,2,50.00%,50.00%,$0.00
/author/ucpu/,4,4,00:00:00,4,100.00%,100.00%,$0.00
/category/chicago/page/5/,4,3,00:00:08,0,0.00%,0.00%,$0.00
/category/chicago/page/6/,4,3,00:00:06,0,0.00%,0.00%,$0.00
/category/culture/page/2/,4,2,00:01:04,0,0.00%,0.00%,$0.00
/category/world/page/5/,4,4,00:00:12,0,0.00%,0.00%,$0.00
/page/2/,4,3,00:00:13,0,0.00%,25.00%,$0.00
/?s=christine+schmidt&submit=Search,3,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=citizens+united&submit=Search,3,1,00:00:27,0,0.00%,0.00%,$0.00
/2013/10/28/magnitsky-russia/,3,3,00:02:41,2,100.00%,66.67%,$0.00
/2013/11/29/nazi-looted-art-finally-uncovered/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/2013/11/29/violence-continues-in-egypt/,3,1,00:00:25,0,0.00%,0.00%,$0.00
/2013/12/03/jp-morgan-fines/,3,2,00:01:37,0,0.00%,0.00%,$0.00
/2013/12/05/who-are-the-indian-mujahideen/,3,3,00:00:26,3,66.67%,66.67%,$0.00
/2013/12/15/france-israel-and-the-future-of-iranian-nuclear-talks/,3,3,00:01:18,1,100.00%,66.67%,$0.00
/2014/01/28/years-after-mooc/,3,3,00:00:00,3,33.33%,100.00%,$0.00
/2014/02/10/why-insurance-part-3-cost-of-care/,3,3,00:00:39,2,0.00%,0.00%,$0.00
/2014/05/14/tackling-affirmative-action-scotus-examines-michigans-ban/,3,3,00:00:05,0,0.00%,66.67%,$0.00
/author/astapleton/page/4/,3,2,00:00:09,0,0.00%,0.00%,$0.00
/author/ezheng/,3,1,00:00:10,1,0.00%,33.33%,$0.00
/category/chicago/page/7/,3,3,00:02:26,0,0.00%,0.00%,$0.00
/category/columns/rxeform/page/3/,3,3,00:00:04,0,0.00%,0.00%,$0.00
/category/columns/rxeform/page/4/,3,2,00:00:04,0,0.00%,0.00%,$0.00
/category/columns/shatterzones/page/2/,3,3,00:00:07,0,0.00%,66.67%,$0.00
/category/culture/page/4/,3,2,00:00:15,0,0.00%,0.00%,$0.00
/category/interviews/page/3/,3,3,00:00:06,0,0.00%,33.33%,$0.00
/category/misc/,3,3,00:00:00,2,100.00%,100.00%,$0.00
/category/national/business/page/2/,3,2,00:00:04,0,0.00%,0.00%,$0.00
/category/world/page/6/,3,3,00:00:15,0,0.00%,33.33%,$0.00
/category/world/page/7/,3,2,00:00:14,0,0.00%,33.33%,$0.00
/?s=Indonesia&submit=Search,2,1,00:00:12,0,0.00%,50.00%,$0.00
/?s=pollard&submit=Search,2,2,00:00:00,0,0.00%,100.00%,$0.00
/?s=school&submit=Search,2,2,00:00:13,0,0.00%,0.00%,$0.00
/2013/06/17/a-system-in-rags/,2,2,00:00:16,1,100.00%,50.00%,$0.00
/2013/07/20/a-woman-led-the-greatest-manhunt-in-history-why-should-we-care/,2,2,00:00:00,1,100.00%,100.00%,$0.00
/2013/10/22/turkey-reforms-of-self-interest/,2,2,00:00:57,0,0.00%,50.00%,$0.00
/2013/10/27/introducing_shatterzones/,2,2,00:28:38,1,0.00%,50.00%,$0.00
/2013/10/30/is-le-pen-mightier/,2,2,00:00:29,0,0.00%,0.00%,$0.00
/2013/11/01/john-mccain-a-statesman-fit-for-compromise/,2,2,00:00:13,1,100.00%,50.00%,$0.00
/2013/11/05/bread-lines-to-front-lines/,2,2,00:00:33,2,50.00%,50.00%,$0.00
/2013/11/06/mark-leibovich-a-conscious-eye-on-a-self-conscious-city/,2,2,00:01:27,1,100.00%,50.00%,$0.00
/2013/11/12/farah-al-haddad-interview/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/2013/11/14/syria-and-sectarianism-spillover-violence-in-lebanon/,2,2,00:01:11,0,0.00%,0.00%,$0.00
/2013/11/19/healthcare-reform-today-and-tomorrow/,2,2,00:00:00,0,0.00%,100.00%,$0.00
/2014/01/22/introducing-supreme-court-spotlight-2/,2,2,00:00:22,1,100.00%,50.00%,$0.00
/2014/01/24/utah-strikes-back-the-next-stages-in-the-battle-for-same-sex-marriage/,2,2,00:00:12,0,0.00%,0.00%,$0.00
/2014/03/05/crisis-in-turkey-arrests-reveal-the-dark-sides-of-former-allies/,2,2,00:00:00,1,100.00%,100.00%,$0.00
/2014/03/10/gop-forum/,2,1,00:00:19,0,0.00%,50.00%,$0.00
/author/astapleton/page/3/,2,2,00:00:02,0,0.00%,50.00%,$0.00
/author/cfine/,2,2,00:00:10,0,0.00%,50.00%,$0.00
/author/interview-team/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/author/johnathanguy/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/author/kaanulgen/page/2/,2,1,00:00:03,0,0.00%,0.00%,$0.00
/author/mdesruisseaux/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/author/mlupin/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/author/pfreilly/,2,2,00:00:00,2,100.00%,100.00%,$0.00
/author/samhodgson/,2,1,00:00:15,1,0.00%,50.00%,$0.00
/author/vicki-yang/,2,1,00:00:28,1,0.00%,0.00%,$0.00
/category/columns/rxeform/page/2/,2,2,00:00:15,0,0.00%,0.00%,$0.00
/category/columns/supremecourtspotlight/page/3/,2,1,00:00:04,0,0.00%,0.00%,$0.00
/category/culture/page/3/,2,2,00:00:11,0,0.00%,0.00%,$0.00
/category/national/education/page/3/,2,2,00:00:10,0,0.00%,50.00%,$0.00
/category/opinion/page/3/,2,2,00:00:10,0,0.00%,0.00%,$0.00
/category/world/page/13/,2,2,00:00:05,0,0.00%,50.00%,$0.00
/category/world/page/8/,2,2,00:00:51,0,0.00%,0.00%,$0.00
/?s=10/27&submit=Search,1,1,00:00:28,0,0.00%,0.00%,$0.00
/?s=acai+price+increase&submit=Search,1,1,00:23:28,0,0.00%,0.00%,$0.00
/?s=aidan&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=anastasia&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=angela&submit=Search,1,1,00:00:12,0,0.00%,0.00%,$0.00
/?s=bernie+sanders&submit=Search,1,1,00:00:04,0,0.00%,0.00%,$0.00
/?s=blobaum&submit=Search,1,1,00:00:10,0,0.00%,0.00%,$0.00
/?s=carmin+chapell&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=catherine+sun&submit=Search,1,1,00:00:10,0,0.00%,0.00%,$0.00
/?s=charter+schools&submit=Search,1,1,00:00:10,0,0.00%,0.00%,$0.00
/?s=China&submit=Search,1,1,00:00:03,0,0.00%,0.00%,$0.00
/?s=columns&submit=Search,1,1,00:00:08,0,0.00%,0.00%,$0.00
/?s=dan+simon&submit=Search,1,1,00:00:18,0,0.00%,0.00%,$0.00
/?s=Education&submit=Search,1,1,00:00:05,0,0.00%,0.00%,$0.00
/?s=fcc&submit=Search,1,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=fracking&submit=Search,1,1,00:00:11,0,0.00%,0.00%,$0.00
/?s=gautam&submit=Search,1,1,00:23:18,0,0.00%,0.00%,$0.00
/?s=grassley,1,1,00:00:02,0,0.00%,0.00%,$0.00
/?s=guy&submit=Search,1,1,00:00:14,0,0.00%,0.00%,$0.00
/?s=impact+of+acai+superfrit+non+local+consumers&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=Indonesia-Australia&submit=Search,1,1,00:00:38,0,0.00%,0.00%,$0.00
/?s=internet&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=interview&submit=Search,1,1,00:00:06,0,0.00%,0.00%,$0.00
/?s=islam&submit=Search,1,1,00:00:10,0,0.00%,0.00%,$0.00
/?s=jaiveer+mariwala&submit=Search,1,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=jared&submit=Search,1,1,00:00:11,0,0.00%,0.00%,$0.00
/?s=jobs&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=kashmir&submit=Search,1,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=kasim&submit=Search,1,1,00:00:24,1,0.00%,0.00%,$0.00
/?s=kevin+shi&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=koch&submit=Search,1,1,00:03:50,0,0.00%,0.00%,$0.00
/?s=leto&submit=Search,1,1,00:00:05,0,0.00%,0.00%,$0.00
/?s=napal&submit=Search,1,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=nepal&submit=Search,1,1,00:00:14,0,0.00%,0.00%,$0.00
/?s=october+27&submit=Search,1,1,00:00:13,0,0.00%,0.00%,$0.00
/?s=pakistan&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=pappajohn&submit=Search,1,1,00:00:05,0,0.00%,0.00%,$0.00
/?s=pappajohnb&submit=Search,1,1,00:00:07,0,0.00%,0.00%,$0.00
/?s=sanders&submit=Search,1,1,00:00:12,0,0.00%,0.00%,$0.00
/?s=schweitzer,1,1,00:00:32,0,0.00%,0.00%,$0.00
/?s=schweitzer&submit=Search,1,1,00:00:08,0,0.00%,0.00%,$0.00
/?s=sexual+assault&submit=Search,1,1,00:00:17,0,0.00%,0.00%,$0.00
/?s=shayan&submit=Search,1,1,00:00:05,0,0.00%,0.00%,$0.00
/?s=simon&submit=Search,1,1,00:20:40,0,0.00%,0.00%,$0.00
/?s=Space&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=sports&submit=Search,1,1,00:00:09,0,0.00%,0.00%,$0.00
/?s=syria&submit=Search,1,1,00:00:10,0,0.00%,0.00%,$0.00
/?s=tanvi&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/?s=tesla&submit=Search,1,1,00:00:09,0,0.00%,0.00%,$0.00
/?s=the&submit=Search,1,1,00:00:03,0,0.00%,0.00%,$0.00
/?s=the+&submit=Search,1,1,00:01:55,0,0.00%,0.00%,$0.00
/?s=ukraine&submit=Search,1,1,00:00:25,0,0.00%,0.00%,$0.00
/?s=vicki+yang&submit=Search,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2013/06/22/the-serengeti-sell-off/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/07/01/palestinian-refugee-strife/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/09/30/inside-the-debate-on-healthcare/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2013/10/18/democratic-strategy-during-and-after-the-shutdown/,1,1,00:00:10,0,0.00%,0.00%,$0.00
/2013/10/22/russian-pols-instagram/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2013/10/22/wail-to-the-chief/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/10/27/introducing-rxeform/,1,1,00:00:47,0,0.00%,0.00%,$0.00
/2013/11/13/a-big-stuff-moment/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/11/15/malaysian-court-minorities-allah/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/11/20/proposed-bike-tax-chicago/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/11/22/officials-review-response-to-2008-crisis/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2013/11/22/years-in-the-making-is-hollywood-finally-ready-to-talk-seriously-about-slavery/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/2013/12/17/six-blind-reformers-and-an-elephant/,1,1,00:00:44,0,0.00%,0.00%,$0.00
/2014/02/01/taking-safety-into-their-own-hands/,1,1,00:00:05,0,0.00%,0.00%,$0.00
/2014/03/17/where-are-the-pragmatists-cantors-foreign-policy-and-the-republican-response/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/2014/04/07/two-twenty-four/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/administrator/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/author/alinton/page/2/,1,1,00:00:03,0,0.00%,0.00%,$0.00
/author/alinton/page/3/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/author/amazumdar/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/author/aneri-amin/page/2/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/author/angelaclg/,1,1,00:00:06,0,0.00%,0.00%,$0.00
/author/cfine/page/2/,1,1,00:00:14,0,0.00%,0.00%,$0.00
/author/etstone/,1,1,00:00:00,0,0.00%,100.00%,$0.00
/author/jaiveerm/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/author/kshi/,1,1,00:00:00,1,100.00%,100.00%,$0.00
/author/milliff/,1,1,00:00:14,0,0.00%,0.00%,$0.00
/category/chicago/page/8/,1,1,00:00:09,0,0.00%,0.00%,$0.00
/category/national/page/4/,1,1,00:00:10,0,0.00%,0.00%,$0.00
/category/national/page/8/,1,1,00:01:28,0,0.00%,0.00%,$0.00
/category/world/middleeast/,1,1,00:00:08,0,0.00%,0.00%,$0.00
/category/world/middleeast/page/2/,1,1,00:00:09,0,0.00%,0.00%,$0.00
/category/world/middleeast/page/3/,1,1,00:00:40,0,0.00%,0.00%,$0.00
/category/world/page/10/,1,1,00:00:04,0,0.00%,0.00%,$0.00
/category/world/page/11/,1,1,00:00:05,0,0.00%,0.00%,$0.00
/category/world/page/12/,1,1,00:00:18,0,0.00%,0.00%,$0.00
/category/world/page/9/,1,1,00:00:28,0,0.00%,0.00%,$0.00
